"","Home_ID","Away_ID","Day","Home_pts","Away_pts","Spread_Pred.x","Spread_Pred.y","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals","Home_TPG","Away_TPG","Home_TSG","Away_TSG","Home_TOG","Away_TOG","Home_PPG","Away_PPG","Home_SPG","Away_SPG","Home_OPG","Away_OPG","Matchup_ID","Left_ID","Right_ID","Left_pts","Right_pts","Left_FGPct","Right_FGPct","Left_oreb","Right_oreb","Left_3Pct","Right_3Pct","Left_TPG","Right_TPG","Left_TSG","Right_TSG","Left_TOG","Right_TOG","Left_PPG","Right_PPG","Left_SPG","Right_SPG","Left_OPG","Right_OPG"
"987",1610612743,1610612741,1610612741,96,117,10,10,-21,11,9,0.42,0.517,0.375,0.333333333,5,9,7615,7346,490,486,652,553,117.153846153846,113.015384615385,7.53846153846154,7.47692307692308,10.0307692307692,8.50769230769231,4143,1610612741,1610612743,117,96,0.517,0.42,9,11,0.333333333,0.375,7346,7615,486,490,553,652,113.015384615385,117.153846153846,7.47692307692308,7.53846153846154,8.50769230769231,10.0307692307692
"988",1610612746,1610612761,1610612761,108,100,0.5,0.5,8,9,15,0.549,0.385,0.3,0.40625,9,12,7551,7430,463,608,654,835,112.701492537313,112.575757575758,6.91044776119403,9.21212121212121,9.76119402985075,12.6515151515152,4661,1610612746,1610612761,108,100,0.549,0.385,9,15,0.3,0.40625,7551,7430,463,608,654,835,112.701492537313,112.575757575758,6.91044776119403,9.21212121212121,9.76119402985075,12.6515151515152
"989",1610612748,1610612739,1610612739,100,104,0.5,0.5,-4,10,7,0.5,0.488,0.275862069,0.321428571,7,13,7158,7508,542,480,657,655,108.454545454545,112.059701492537,8.21212121212121,7.16417910447761,9.95454545454546,9.77611940298507,3948,1610612739,1610612748,104,100,0.488,0.5,7,10,0.321428571,0.275862069,7508,7158,480,542,655,657,112.059701492537,108.454545454545,7.16417910447761,8.21212121212121,9.77611940298507,9.95454545454546
"990",1610612756,1610612760,1610612760,132,101,13,13,31,14,7,0.521,0.375,0.465116279,0.348837209,10,9,7346,7699,470,543,774,750,113.015384615385,118.446153846154,7.23076923076923,8.35384615384615,11.9076923076923,11.5384615384615,5660,1610612756,1610612760,132,101,0.521,0.375,14,7,0.465116279,0.348837209,7346,7699,470,543,774,750,113.015384615385,118.446153846154,7.23076923076923,8.35384615384615,11.9076923076923,11.5384615384615
"991",1610612764,1610612737,1610612737,120,122,NA,NA,-2,6,8,0.566,0.529,0.413793103,0.413793103,9,11,7359,7614,447,456,622,691,113.215384615385,117.138461538462,6.87692307692308,7.01538461538462,9.56923076923077,10.6307692307692,3764,1610612737,1610612764,122,120,0.529,0.566,8,6,0.413793103,0.413793103,7614,7359,456,447,691,622,117.138461538462,113.215384615385,7.01538461538462,6.87692307692308,10.6307692307692,9.56923076923077
"992",1610612749,1610612751,1610612751,118,113,10.5,10.5,5,20,15,0.423,0.394,0.38,0.388888889,8,10,7530,7384,418,459,736,498,115.846153846154,113.6,6.43076923076923,7.06153846153846,11.3230769230769,7.66153846153846,4951,1610612749,1610612751,118,113,0.423,0.394,20,15,0.38,0.388888889,7530,7384,418,459,736,498,115.846153846154,113.6,6.43076923076923,7.06153846153846,11.3230769230769,7.66153846153846
"993",1610612753,1610612762,1610612762,124,131,5,5,-7,12,11,0.468,0.557,0.470588235,0.382352941,9,7,7336,7724,471,426,665,781,111.151515151515,117.030303030303,7.13636363636364,6.45454545454545,10.0757575757576,11.8333333333333,5362,1610612753,1610612762,124,131,0.468,0.557,12,11,0.470588235,0.382352941,7336,7724,471,426,665,781,111.151515151515,117.030303030303,7.13636363636364,6.45454545454545,10.0757575757576,11.8333333333333
"994",1610612754,1610612745,1610612745,134,125,9.5,9.5,9,8,20,0.48,0.458,0.4,0.352941176,12,6,7620,7152,524,465,654,855,115.454545454545,110.030769230769,7.93939393939394,7.15384615384615,9.90909090909091,13.1538461538462,4554,1610612745,1610612754,125,134,0.458,0.48,20,8,0.352941176,0.4,7152,7620,465,524,855,654,110.030769230769,115.454545454545,7.15384615384615,7.93939393939394,13.1538461538462,9.90909090909091
"995",1610612758,1610612752,1610612752,122,117,NA,NA,5,6,23,0.524,0.416,0.3125,0.26,10,8,7750,7726,445,404,587,838,121.09375,115.313432835821,6.953125,6.02985074626866,9.171875,12.5074626865672,5258,1610612752,1610612758,117,122,0.416,0.524,23,6,0.26,0.3125,7726,7750,404,445,838,587,115.313432835821,121.09375,6.02985074626866,6.953125,12.5074626865672,9.171875
"996",1610612763,1610612744,1610612744,131,110,1.5,1.5,21,9,8,0.538,0.439,0.45,0.333333333,6,9,7399,7795,538,464,797,663,115.609375,118.106060606061,8.40625,7.03030303030303,12.453125,10.0454545454545,4463,1610612744,1610612763,110,131,0.439,0.538,8,9,0.333333333,0.45,7795,7399,464,538,663,797,118.106060606061,115.609375,7.03030303030303,8.40625,10.0454545454545,12.453125
